,0
0,Two Sumhttps://leetcode.com/problems/two-sumDễ·15 phút
1,Valid Parentheseshttps://leetcode.com/problems/valid-parenthesesDễ·20 phút
2,Merge Two Sorted Listshttps://leetcode.com/problems/merge-two-sorted-listsDễ·20 phút
3,Best Time to Buy and Sell Stockhttps://leetcode.com/problems/best-time-to-buy-and-sell-stockDễ·20 phút
4,Valid Palindromehttps://leetcode.com/problems/valid-palindromeDễ·15 phút
5,Invert Binary Treehttps://leetcode.com/problems/invert-binary-treeDễ·15 phút
6,Valid Anagramhttps://leetcode.com/problems/valid-anagramDễ·15 phút
7,Binary Searchhttps://leetcode.com/problems/binary-searchDễ·15 phút
8,Flood Fillhttps://leetcode.com/problems/flood-fillDễ·20 phút
9,Maximum Subarrayhttps://leetcode.com/problems/maximum-subarrayDễ·20 phút
10,"Lowest Common Ancestor of a Binary
                                      Search Treehttps://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-treeDễ·20 phút"
11,Balanced Binary Treehttps://leetcode.com/problems/balanced-binary-treeDễ·15 phút
12,Linked List Cyclehttps://leetcode.com/problems/linked-list-cycleDễ·20 phút
13,Implement Queue using Stackshttps://leetcode.com/problems/implement-queue-using-stacksDễ·20 phút
14,First Bad Versionhttps://leetcode.com/problems/first-bad-versionDễ·20 phút
15,Ransom Notehttps://leetcode.com/problems/ransom-noteDễ·15 phút
16,Climbing Stairshttps://leetcode.com/problems/climbing-stairsDễ·20 phút
17,Longest Palindromehttps://leetcode.com/problems/longest-palindromeDễ·20 phút
18,Reverse Linked Listhttps://leetcode.com/problems/reverse-linked-listDễ·20 phút
19,Majority Elementhttps://leetcode.com/problems/majority-elementDễ·20 phút
20,Add Binaryhttps://leetcode.com/problems/add-binaryDễ·15 phút
21,Diameter of Binary Treehttps://leetcode.com/problems/diameter-of-binary-treeDễ·30 phút
22,Middle of the Linked Listhttps://leetcode.com/problems/middle-of-the-linked-listDễ·20 phút
23,Maximum Depth of Binary Treehttps://leetcode.com/problems/maximum-depth-of-binary-treeDễ·15 phút
24,Contains Duplicatehttps://leetcode.com/problems/contains-duplicateDễ·15 phút
25,Meeting Roomshttps://leetcode.com/problems/meeting-roomsDễ·20 phút
26,Roman to Integerhttps://leetcode.com/problems/roman-to-integerDễ·20 phút
27,Backspace String Comparehttps://leetcode.com/problems/backspace-string-compareDễ·15 phút
28,Counting Bitshttps://leetcode.com/problems/counting-bitsDễ·15 phút
29,Same Treehttps://leetcode.com/problems/same-treeDễ·20 phút
30,Number of 1 Bitshttps://leetcode.com/problems/number-of-1-bitsDễ·15 phút
31,Longest Common Prefixhttps://leetcode.com/problems/longest-common-prefixDễ·20 phút
32,Single Numberhttps://leetcode.com/problems/single-numberDễ·15 phút
33,Palindrome Linked Listhttps://leetcode.com/problems/palindrome-linked-listDễ·20 phút
34,Move Zeroeshttps://leetcode.com/problems/move-zeroesDễ·20 phút
35,Symmetric Treehttps://leetcode.com/problems/symmetric-treeDễ·20 phút
36,Missing Numberhttps://leetcode.com/problems/missing-numberDễ·15 phút
37,Palindrome Numberhttps://leetcode.com/problems/palindrome-numberDễ·15 phút
38,"Convert Sorted Array to Binary Search
                                      Treehttps://leetcode.com/problems/convert-sorted-array-to-binary-search-treeDễ·20 phút"
39,Reverse Bitshttps://leetcode.com/problems/reverse-bitsDễ·15 phút
40,Subtree of Another Treehttps://leetcode.com/problems/subtree-of-another-treeDễ·20 phút
41,Squares of a Sorted Arrayhttps://leetcode.com/problems/squares-of-a-sorted-arrayDễ·20 phút
42,Insert Intervalhttps://leetcode.com/problems/insert-intervalVừa·25 phút
43,01 Matrixhttps://leetcode.com/problems/01-matrixVừa·30 phút
44,K Closest Points to Originhttps://leetcode.com/problems/k-closest-points-to-originVừa·30 phút
45,"Longest Substring Without Repeating
                                      Charactershttps://leetcode.com/problems/longest-substring-without-repeating-charactersVừa·30 phút"
46,3Sumhttps://leetcode.com/problems/3sumVừa·30 phút
47,Binary Tree Level Order Traversalhttps://leetcode.com/problems/binary-tree-level-order-traversalVừa·20 phút
48,Clone Graphhttps://leetcode.com/problems/clone-graphVừa·25 phút
49,Evaluate Reverse Polish Notationhttps://leetcode.com/problems/evaluate-reverse-polish-notationVừa·30 phút
50,Course Schedulehttps://leetcode.com/problems/course-scheduleVừa·30 phút
51,Implement Trie (Prefix Tree)https://leetcode.com/problems/implement-trie-prefix-treeVừa·35 phút
52,Coin Changehttps://leetcode.com/problems/coin-changeVừa·25 phút
53,Product of Array Except Selfhttps://leetcode.com/problems/product-of-array-except-selfVừa·30 phút
54,Min Stackhttps://leetcode.com/problems/min-stackVừa·20 phút
55,Validate Binary Search Treehttps://leetcode.com/problems/validate-binary-search-treeVừa·20 phút
56,Number of Islandshttps://leetcode.com/problems/number-of-islandsVừa·25 phút
57,Rotting Orangeshttps://leetcode.com/problems/rotting-orangesVừa·30 phút
58,Search in Rotated Sorted Arrayhttps://leetcode.com/problems/search-in-rotated-sorted-arrayVừa·30 phút
59,Combination Sumhttps://leetcode.com/problems/combination-sumVừa·30 phút
60,Permutationshttps://leetcode.com/problems/permutationsVừa·30 phút
61,Merge Intervalshttps://leetcode.com/problems/merge-intervalsVừa·30 phút
62,"Lowest Common Ancestor of a Binary
                                      Treehttps://leetcode.com/problems/lowest-common-ancestor-of-a-binary-treeVừa·25 phút"
63,Time Based Key-Value Storehttps://leetcode.com/problems/time-based-key-value-storeVừa·35 phút
64,Accounts Mergehttps://leetcode.com/problems/accounts-mergeVừa·30 phút
65,Sort Colorshttps://leetcode.com/problems/sort-colorsVừa·25 phút
66,Word Breakhttps://leetcode.com/problems/word-breakVừa·30 phút
67,Partition Equal Subset Sumhttps://leetcode.com/problems/partition-equal-subset-sumVừa·30 phút
68,String to Integer (atoi)https://leetcode.com/problems/string-to-integer-atoiVừa·25 phút
69,Spiral Matrixhttps://leetcode.com/problems/spiral-matrixVừa·25 phút
70,Subsetshttps://leetcode.com/problems/subsetsVừa·30 phút
71,Binary Tree Right Side Viewhttps://leetcode.com/problems/binary-tree-right-side-viewVừa·20 phút
72,Longest Palindromic Substringhttps://leetcode.com/problems/longest-palindromic-substringVừa·25 phút
73,Unique Pathshttps://leetcode.com/problems/unique-pathsVừa·20 phút
74,"Construct Binary Tree from Preorder and
                                      Inorder Traversalhttps://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversalVừa·25 phút"
75,Container With Most Waterhttps://leetcode.com/problems/container-with-most-waterVừa·35 phút
76,"Letter Combinations of a Phone
                                      Numberhttps://leetcode.com/problems/letter-combinations-of-a-phone-numberVừa·30 phút"
77,Word Searchhttps://leetcode.com/problems/word-searchVừa·30 phút
78,Find All Anagrams in a Stringhttps://leetcode.com/problems/find-all-anagrams-in-a-stringVừa·30 phút
79,Minimum Height Treeshttps://leetcode.com/problems/minimum-height-treesVừa·30 phút
80,Task Schedulerhttps://leetcode.com/problems/task-schedulerVừa·35 phút
81,LRU Cachehttps://leetcode.com/problems/lru-cacheVừa·30 phút
82,Kth Smallest Element in a BSThttps://leetcode.com/problems/kth-smallest-element-in-a-bstVừa·25 phút
83,Daily Temperatureshttps://leetcode.com/problems/daily-temperaturesVừa·30 phút
84,House Robberhttps://leetcode.com/problems/house-robberVừa·25 phút
85,Gas Stationhttps://leetcode.com/problems/gas-stationVừa·30 phút
86,Next Permutationhttps://leetcode.com/problems/next-permutationVừa·30 phút
87,Valid Sudokuhttps://leetcode.com/problems/valid-sudokuVừa·35 phút
88,Group Anagramshttps://leetcode.com/problems/group-anagramsVừa·25 phút
89,Maximum Product Subarrayhttps://leetcode.com/problems/maximum-product-subarrayVừa·30 phút
90,"Design Add and Search Words Data
                                      Structurehttps://leetcode.com/problems/design-add-and-search-words-data-structureVừa·35 phút"
91,Pacific Atlantic Water Flowhttps://leetcode.com/problems/pacific-atlantic-water-flowVừa·30 phút
92,Remove Nth Node From End of Listhttps://leetcode.com/problems/remove-nth-node-from-end-of-listVừa·20 phút
93,Shortest Path to Get Foodhttps://leetcode.com/problems/shortest-path-to-get-foodVừa·30 phút
94,Find the Duplicate Numberhttps://leetcode.com/problems/find-the-duplicate-numberVừa·20 phút
95,Top K Frequent Wordshttps://leetcode.com/problems/top-k-frequent-wordsVừa·30 phút
96,Longest Increasing Subsequencehttps://leetcode.com/problems/longest-increasing-subsequenceVừa·30 phút
97,Graph Valid Treehttps://leetcode.com/problems/graph-valid-treeVừa·30 phút
98,Course Schedule IIhttps://leetcode.com/problems/course-schedule-iiVừa·35 phút
99,Swap Nodes in Pairshttps://leetcode.com/problems/swap-nodes-in-pairsVừa·25 phút
100,Path Sum IIhttps://leetcode.com/problems/path-sum-iiVừa·25 phút
101,Longest Consecutive Sequencehttps://leetcode.com/problems/longest-consecutive-sequenceVừa·30 phút
102,Rotate Arrayhttps://leetcode.com/problems/rotate-arrayVừa·25 phút
103,Odd Even Linked Listhttps://leetcode.com/problems/odd-even-linked-listVừa·25 phút
104,Decode Stringhttps://leetcode.com/problems/decode-stringVừa·30 phút
105,Contiguous Arrayhttps://leetcode.com/problems/contiguous-arrayVừa·30 phút
106,Maximum Width of Binary Treehttps://leetcode.com/problems/maximum-width-of-binary-treeVừa·20 phút
107,Find K Closest Elementshttps://leetcode.com/problems/find-k-closest-elementsVừa·30 phút
108,"Longest Repeating Character
                                      Replacementhttps://leetcode.com/problems/longest-repeating-character-replacementVừa·30 phút"
109,Inorder Successor in BSThttps://leetcode.com/problems/inorder-successor-in-bstVừa·30 phút
110,Jump Gamehttps://leetcode.com/problems/jump-gameVừa·20 phút
111,Add Two Numbershttps://leetcode.com/problems/add-two-numbersVừa·25 phút
112,Generate Parentheseshttps://leetcode.com/problems/generate-parenthesesVừa·25 phút
113,Sort Listhttps://leetcode.com/problems/sort-listVừa·25 phút
114,"Number of Connected Components in an
                                      Undirected Graphhttps://leetcode.com/problems/number-of-connected-components-in-an-undirected-graphVừa·30 phút"
115,Minimum Knight Moveshttps://leetcode.com/problems/minimum-knight-movesVừa·35 phút
116,Subarray Sum Equals Khttps://leetcode.com/problems/subarray-sum-equals-kVừa·35 phút
117,Asteroid Collisionhttps://leetcode.com/problems/asteroid-collisionVừa·30 phút
118,Random Pick with Weighthttps://leetcode.com/problems/random-pick-with-weightVừa·25 phút
119,Kth Largest Element in an Arrayhttps://leetcode.com/problems/kth-largest-element-in-an-arrayVừa·30 phút
120,Maximal Squarehttps://leetcode.com/problems/maximal-squareVừa·30 phút
121,Rotate Imagehttps://leetcode.com/problems/rotate-imageVừa·25 phút
122,"Binary Tree Zigzag Level Order
                                      Traversalhttps://leetcode.com/problems/binary-tree-zigzag-level-order-traversalVừa·25 phút"
123,Design Hit Counterhttps://leetcode.com/problems/design-hit-counterVừa·30 phút
124,Path Sum IIIhttps://leetcode.com/problems/path-sum-iiiVừa·35 phút
125,"Pow(x, n)https://leetcode.com/problems/powx-nVừa·20 phút"
126,Search a 2D Matrixhttps://leetcode.com/problems/search-a-2d-matrixVừa·30 phút
127,Largest Numberhttps://leetcode.com/problems/largest-numberVừa·20 phút
128,Decode Wayshttps://leetcode.com/problems/decode-waysVừa·25 phút
129,Meeting Rooms IIhttps://leetcode.com/problems/meeting-rooms-iiVừa·30 phút
130,Reverse Integerhttps://leetcode.com/problems/reverse-integerVừa·25 phút
131,Set Matrix Zeroeshttps://leetcode.com/problems/set-matrix-zeroesVừa·25 phút
132,Reorder Listhttps://leetcode.com/problems/reorder-listVừa·25 phút
133,Encode and Decode Stringshttps://leetcode.com/problems/encode-and-decode-stringsVừa·25 phút
134,Cheapest Flights Within K Stopshttps://leetcode.com/problems/cheapest-flights-within-k-stopsVừa·45 phút
135,All Nodes Distance K in Binary Treehttps://leetcode.com/problems/all-nodes-distance-k-in-binary-treeVừa·25 phút
136,3Sum Closesthttps://leetcode.com/problems/3sum-closestVừa·30 phút
137,Rotate Listhttps://leetcode.com/problems/rotate-listVừa·25 phút
138,Find Minimum in Rotated Sorted Arrayhttps://leetcode.com/problems/find-minimum-in-rotated-sorted-arrayVừa·30 phút
139,Basic Calculator IIhttps://leetcode.com/problems/basic-calculator-iiVừa·30 phút
140,Combination Sum IVhttps://leetcode.com/problems/combination-sum-ivVừa·35 phút
141,Insert Delete GetRandom O(1)https://leetcode.com/problems/insert-delete-getrandom-o1Vừa·20 phút
142,Non-overlapping Intervalshttps://leetcode.com/problems/non-overlapping-intervalsVừa·20 phút
143,Minimum Window Substringhttps://leetcode.com/problems/minimum-window-substringKhó·30 phút
144,"Serialize and Deserialize Binary
                                      Treehttps://leetcode.com/problems/serialize-and-deserialize-binary-treeKhó·40 phút"
145,Trapping Rain Waterhttps://leetcode.com/problems/trapping-rain-waterKhó·35 phút
146,Find Median from Data Streamhttps://leetcode.com/problems/find-median-from-data-streamKhó·30 phút
147,Word Ladderhttps://leetcode.com/problems/word-ladderKhó·45 phút
148,Basic Calculatorhttps://leetcode.com/problems/basic-calculatorKhó·40 phút
149,Maximum Profit in Job Schedulinghttps://leetcode.com/problems/maximum-profit-in-job-schedulingKhó·45 phút
150,Merge k Sorted Listshttps://leetcode.com/problems/merge-k-sorted-listsKhó·30 phút
151,Largest Rectangle in Histogramhttps://leetcode.com/problems/largest-rectangle-in-histogramKhó·35 phút
152,Binary Tree Maximum Path Sumhttps://leetcode.com/problems/binary-tree-maximum-path-sumKhó·35 phút
153,Maximum Frequency Stackhttps://leetcode.com/problems/maximum-frequency-stackKhó·40 phút
154,Median of Two Sorted Arrayshttps://leetcode.com/problems/median-of-two-sorted-arraysKhó·40 phút
155,Longest Increasing Path in a Matrixhttps://leetcode.com/problems/longest-increasing-path-in-a-matrixKhó·40 phút
